time,setpoint,response,pwm,,Parameters
18667948,100.00,103.05,-1.52,,,
18697556,100.00,103.05,-1.52,,,
18715228,100.00,103.05,-1.52,,,
18739820,100.00,103.05,-1.52,,,
18758344,100.00,103.05,-1.52,,,
18784768,100.00,103.05,-1.52,,,
18799836,100.00,103.05,-1.52,,,
18833172,100.00,103.05,-1.52,,,
18861808,100.00,103.05,-1.52,,,
18909804,100.00,103.05,-1.52,,,
18938440,100.00,103.05,-1.52,,,
18981808,100.00,103.05,-1.52,,,
19006792,100.00,103.05,-1.52,,,
19042540,100.00,103.05,-1.52,,,
19057216,100.00,103.05,-1.52,,,
19085264,100.00,103.05,-1.52,,,
19102552,100.00,103.05,-1.52,,,
19128000,100.00,103.05,-1.52,,,
19144116,100.00,103.05,-1.52,,,
19170264,100.00,103.05,-1.52,,,
19188212,100.00,103.05,-1.52,,,
19212804,100.00,103.05,-1.52,,,
19230940,100.00,103.05,-1.52,,,
19254288,100.00,103.05,-1.52,,,
19270012,100.00,103.05,-1.52,,,
19300864,100.00,103.05,-1.52,,,
19316512,100.00,103.05,-1.52,,,
19340912,100.00,103.05,-1.52,,,
19358388,100.00,103.05,-1.52,,,
19383376,100.00,103.05,-1.52,,,
19401316,100.00,103.05,-1.52,,,
19427736,100.00,103.05,-1.52,,,
19442412,100.00,103.05,-1.52,,,
19466616,100.00,103.05,-1.52,,,
19484680,100.00,103.05,-1.52,,,
19509272,100.00,103.05,-1.52,,,
19523948,100.00,103.05,-1.52,,,
19552584,100.00,103.05,-1.52,,,
19570064,100.00,103.05,-1.52,,,
19594656,100.00,103.05,-1.52,,,
19609920,100.00,103.05,-1.52,,,
19638552,100.00,103.05,-1.52,,,
19655444,100.00,103.05,-1.52,,,
19679844,100.00,103.05,-1.52,,,
19700200,100.00,103.05,-1.52,,,
19729420,100.00,103.05,-1.52,,,
19745144,100.00,103.05,-1.52,,,
19775800,100.00,103.05,-1.52,,,
19794520,100.00,103.05,-1.52,,,
19825564,100.00,103.05,-1.52,,,
19844752,100.00,103.05,-1.52,,,
19870316,100.00,103.05,-1.52,,,
19888648,100.00,103.05,-1.52,,,
19915260,100.00,103.05,-1.52,,,
19934176,100.00,103.05,-1.52,,,
19959548,100.00,103.05,-1.52,,,
19974888,100.00,103.05,-1.52,,,
19998044,100.00,103.05,-1.52,,,
20015132,100.00,103.05,-1.52,,,
20041160,100.00,103.05,-1.52,,,
20056496,100.00,103.05,-1.52,,,
20082256,100.00,103.05,-1.52,,,
20101172,100.00,103.05,-1.52,,,
20127008,100.00,103.05,-1.52,,,
20143512,100.00,103.05,-1.52,,,
20170512,100.00,103.05,-1.52,,,
20187604,100.00,103.05,-1.52,,,
20210952,100.00,103.05,-1.52,,,
20231892,100.00,103.05,-1.52,,,
20258116,100.00,103.05,-1.52,,,
20274036,100.00,103.05,-1.52,,,
20299020,100.00,103.05,-1.52,,,
20315720,100.00,103.05,-1.52,,,
20339072,100.00,103.05,-1.52,,,
20355384,100.00,103.05,-1.52,,,
20380556,100.00,103.05,-1.52,,,
20397068,100.00,103.05,-1.52,,,
20421460,100.00,103.05,-1.52,,,
20439156,100.00,103.05,0.00,,,
20465768,100.00,103.05,0.00,,,
20481852,100.00,103.05,0.00,,,
20510388,100.00,103.05,0.00,,,
20528408,100.00,103.05,0.00,,,
20552348,100.00,103.05,0.00,,,
20568584,100.00,103.05,0.00,,,
20595196,100.00,103.05,0.00,,,
20612176,100.00,103.05,0.00,,,
20645008,100.00,103.05,0.00,,,
20663020,100.00,103.05,0.00,,,
20688152,100.00,103.05,0.00,,,
20704388,100.00,103.05,0.00,,,
20729368,100.00,103.05,0.00,,,
20744568,100.00,103.05,0.00,,,
20776068,100.00,103.05,0.00,,,
20793932,100.00,103.05,0.00,,,
20818176,100.00,103.05,0.00,,,
20836632,100.00,103.05,0.00,,,
20863392,100.00,103.05,0.00,,,
20878292,100.00,103.05,0.00,,,
20908168,100.00,103.05,0.00,,,
20928556,100.00,103.05,0.00,,,
20953828,100.00,103.05,0.00,,,
20969920,100.00,103.05,0.00,,,
20992380,100.00,103.05,0.00,,,
21009948,100.00,103.05,0.00,,,
21036412,100.00,103.05,0.00,,,
21051164,100.00,103.05,0.00,,,
21075700,100.00,103.05,0.00,,,
21093716,100.00,103.05,0.00,,,
21117656,100.00,103.05,0.00,,,
21133896,100.00,103.05,0.00,,,
21158576,100.00,103.05,0.00,,,
21174668,100.00,103.05,0.00,,,
21196984,100.00,103.05,0.00,,,
21213956,100.00,103.05,0.00,,,
21242640,100.00,103.05,0.00,,,
21260952,100.00,103.05,0.00,,,
21283268,100.00,103.05,0.00,,,
21301580,100.00,103.05,0.00,,,
21325372,100.00,103.05,0.00,,,
21342196,100.00,103.05,0.00,,,
21367476,100.00,103.05,0.00,,,
21382676,100.00,103.05,0.00,,,
21407956,100.00,103.05,0.00,,,
21424636,100.00,103.05,0.00,,,
21449172,100.00,103.05,0.00,,,
21464664,100.00,103.05,0.00,,,
21489796,100.00,103.05,0.00,,,
21506624,100.00,103.05,0.00,,,
21531160,100.00,103.05,0.00,,,
21545912,100.00,103.05,0.00,,,
21574448,100.00,103.05,0.00,,,
21592316,100.00,103.05,0.00,,,
21616708,100.00,103.05,0.00,,,
21634720,100.00,103.05,0.00,,,
21660888,100.00,103.05,0.00,,,
21676820,100.00,103.05,0.00,,,
21705956,100.00,103.05,0.00,,,
21721744,100.00,103.05,0.00,,,
21748060,100.00,103.05,0.00,,,
21766520,100.00,103.05,0.00,,,
21794168,100.00,103.05,0.00,,,
21811440,100.00,103.05,0.00,,,
21843236,100.00,103.05,0.00,,,
