time,setpoint,response,pwm,,Parameters
876872228,100.00,99.95,0.05,,,
876896148,100.00,99.95,0.05,,,
876914064,100.00,99.95,0.05,,,
876939272,100.00,99.95,0.05,,,
876954100,100.00,99.95,0.05,,,
876977584,100.00,99.95,0.05,,,
876992072,100.00,99.95,0.05,,,
877016932,100.00,99.95,0.05,,,
877034080,100.00,99.95,0.05,,,
877056036,100.00,99.95,0.05,,,
877073008,100.00,99.95,0.05,,,
877098216,100.00,99.95,0.05,,,
877114676,100.00,99.95,0.05,,,
877137396,100.00,99.95,0.05,,,
877153164,100.00,99.95,0.05,,,
877178032,100.00,99.95,0.05,,,
877200828,100.00,99.95,0.05,,,
877232292,100.00,99.95,0.05,,,
877249436,100.00,99.95,0.05,,,
877273956,100.00,99.95,0.05,,,
877293848,100.00,99.95,0.05,,,
877322824,100.00,99.95,0.05,,,
877339284,100.00,99.95,0.05,,,
877364664,100.00,99.95,0.05,,,
877378040,100.00,99.95,0.05,,,
877397160,100.00,99.95,0.05,,,
877411820,100.00,99.95,0.05,,,
877438312,100.00,99.95,0.05,,,
877452032,100.00,99.95,0.05,,,
877477072,100.00,99.95,0.05,,,
877495924,100.00,99.95,0.05,,,
877518300,100.00,99.95,0.05,,,
877533820,100.00,99.95,0.05,,,
877559716,100.00,99.95,0.05,,,
877577636,100.00,99.95,0.05,,,
877604988,100.00,99.95,0.05,,,
877624356,100.00,99.95,0.05,,,
877648868,100.00,99.95,0.05,,,
877666020,100.00,99.95,0.05,,,
877689084,100.00,99.95,0.05,,,
877705716,100.00,99.95,0.05,,,
877732036,100.00,99.95,0.05,,,
877746352,100.00,99.95,0.05,,,
877771216,100.00,99.95,0.05,,,
877791792,100.00,99.95,0.05,,,
877818284,100.00,99.95,0.05,,,
877835084,100.00,99.95,0.05,,,
877857632,100.00,99.95,0.05,,,
877875380,100.00,99.95,0.05,,,
877900068,100.00,99.95,0.05,,,
877915248,100.00,99.95,0.05,,,
877939768,100.00,99.95,0.05,,,
877959308,100.00,99.95,0.05,,,
877986484,100.00,99.95,0.05,,,
877999180,100.00,99.95,0.05,,,
878025496,100.00,99.95,0.05,,,
878041784,100.00,99.95,0.05,,,
878067680,100.00,99.95,0.05,,,
878083112,100.00,99.95,0.05,,,
878109424,100.00,99.95,0.05,,,
878125884,100.00,99.95,0.05,,,
878147324,100.00,99.95,0.05,,,
878163020,100.00,99.95,0.05,,,
878191480,100.00,99.95,0.05,,,
878208192,100.00,99.95,0.05,,,
878231940,100.00,99.95,0.05,,,
878244976,100.00,99.95,0.05,,,
878271712,100.00,99.95,0.05,,,
878289720,100.00,99.95,0.05,,,
878314836,100.00,99.95,0.05,,,
878332500,100.00,99.95,0.05,,,
878356080,100.00,99.95,0.05,,,
878373056,100.00,99.95,0.05,,,
878397400,100.00,99.95,0.05,,,
878413344,100.00,99.95,0.05,,,
878438976,100.00,99.95,0.05,,,
878457060,100.00,99.95,0.05,,,
878478920,100.00,99.95,0.05,,,
878495376,100.00,99.95,0.05,,,
878521104,100.00,99.95,0.05,,,
878537048,100.00,99.95,0.05,,,
878561736,100.00,99.95,0.05,,,
878578368,100.00,99.95,0.05,,,
878602544,100.00,99.95,0.05,,,
878620208,100.00,99.95,0.05,,,
878642240,100.00,99.95,0.05,,,
878660492,100.00,99.95,0.05,,,
878682696,100.00,99.95,0.05,,,
878699676,100.00,99.95,0.05,,,
878724016,100.00,99.95,0.05,,,
878740652,100.00,99.95,0.05,,,
878773052,100.00,99.95,0.05,,,
878791312,100.00,99.95,0.05,,,
878811720,100.00,99.95,0.05,,,
878827408,100.00,99.95,0.05,,,
878848240,100.00,99.95,0.05,,,
878861612,100.00,99.95,0.05,,,
878880904,100.00,99.95,0.05,,,
878894356,100.00,99.95,0.05,,,
878954884,100.00,99.95,0.05,,,
878978544,100.00,99.95,0.05,,,
879009320,100.00,99.95,0.05,,,
879028096,100.00,99.95,0.05,,,
879055276,100.00,99.95,0.05,,,
879074820,100.00,99.95,0.05,,,
879102172,100.00,99.95,0.05,,,
879114424,100.00,99.95,0.05,,,
879137656,100.00,99.95,0.05,,,
879154112,100.00,99.95,0.05,,,
879174868,100.00,99.95,0.05,,,
879191156,100.00,99.95,0.05,,,
879212072,100.00,99.95,0.05,,,
879226908,100.00,99.95,0.05,,,
879249796,100.00,99.95,0.05,,,
879261968,100.00,99.95,0.05,,,
879283656,100.00,99.95,0.05,,,
879302256,100.00,99.95,0.05,,,
879327300,100.00,99.95,0.05,,,
879342896,100.00,99.95,0.05,,,
879366556,100.00,99.95,0.05,,,
879384048,100.00,99.95,0.05,,,
879406424,100.00,99.95,0.05,,,
879443044,100.00,99.95,0.05,,,
879485308,100.00,99.95,0.05,,,
879508544,100.00,99.95,0.05,,,
879539744,100.00,99.95,0.05,,,
879560320,100.00,99.95,0.05,,,
